entity_id,entity_name,segment,owner
PRO001,Product feature 1,Core,Revenue
PRO002,Product feature 2,Strategic,Customer
PRO003,Product feature 3,Growth,Analytics
PRO004,Product feature 4,Watch,Operations
PRO005,Product feature 5,Watch,Product
PRO006,Product feature 6,Strategic,Analytics
PRO007,Product feature 7,Growth,Operations
PRO008,Product feature 8,Growth,Operations
PRO009,Product feature 9,Growth,Revenue
PRO010,Product feature 10,Strategic,Operations
PRO011,Product feature 11,Strategic,Analytics
PRO012,Product feature 12,Growth,Operations
PRO013,Product feature 13,Strategic,Operations
PRO014,Product feature 14,Strategic,Operations
PRO015,Product feature 15,Growth,Operations
PRO016,Product feature 16,Core,Revenue
PRO017,Product feature 17,Growth,Customer
PRO018,Product feature 18,Strategic,Operations
PRO019,Product feature 19,Watch,Operations
PRO020,Product feature 20,Core,Analytics
PRO021,Product feature 21,Core,Revenue
PRO022,Product feature 22,Watch,Customer
PRO023,Product feature 23,Watch,Revenue
PRO024,Product feature 24,Core,Revenue
PRO025,Product feature 25,Core,Analytics
PRO026,Product feature 26,Core,Product
PRO027,Product feature 27,Watch,Customer
PRO028,Product feature 28,Growth,Product
PRO029,Product feature 29,Growth,Operations
PRO030,Product feature 30,Core,Operations
PRO031,Product feature 31,Watch,Analytics
PRO032,Product feature 32,Core,Revenue
PRO033,Product feature 33,Strategic,Operations
PRO034,Product feature 34,Watch,Customer
PRO035,Product feature 35,Growth,Product
PRO036,Product feature 36,Growth,Analytics
